timestamp,mode,mode_imgsz,mode_skip,controller_reason,switch_count,state_gpu_percent,state_vram_percent,state_cpu_percent,state_ram_percent,state_temperature,state_fps,fps,latency_ms,num_detections,confidence_score_avg,accuracy,gpu_usage_percent,vram_usage_percent,cpu_usage_percent,ram_usage_percent,temperature,source_frames_seen,processed_frames,intentional_skips_total,intentional_drop_rate_percent,frame_drop_rate_percent
2026-05-08T18:32:23.348,M0,640,0,M0 <- CPU 0% <= 50.0% (low),0,0.0,0.0,0.0,77.6,0.0,39.25765347515557,39.26,245.73,9,0.5662,86.17,0.0,0.0,0.0,77.6,0.0,1,1,0,0.0,0.0
2026-05-08T18:32:23.465,M0,640,0,M0 <- CPU 0% <= 50.0% (low),0,0.0,0.0,0.0,77.6,0.0,29.636016955664342,29.64,108.17,8,0.5259,89.54,0.0,0.0,0.0,77.6,0.0,2,2,0,0.0,0.0
2026-05-08T18:32:23.884,M0,640,0,M0 <- CPU 0% <= 50.0% (low),0,0.0,0.0,0.0,77.6,0.0,13.93196315181959,13.93,414.09,10,0.4932,86.84,0.0,0.0,0.0,77.6,0.0,3,3,0,0.0,0.0
2026-05-08T18:32:23.996,M2,320,2,M2 <- CPU 90% > 80.0%,1,0.0,0.0,89.8,77.9,0.0,13.28182922247228,13.28,106.91,12,0.3844,82.53,0.0,0.0,89.8,77.9,0.0,4,4,0,0.0,0.0
2026-05-08T18:32:24.096,M2,320,2,M2 <- CPU 90% > 80.0%,1,0.0,0.0,89.8,77.9,0.0,13.06857777309747,13.07,87.58,6,0.4914,75.87,0.0,0.0,89.8,77.9,0.0,7,5,2,28.57,28.57
2026-05-08T18:32:24.937,M2,320,2,M2 <- CPU 90% > 80.0%,1,0.0,0.0,89.8,77.9,0.0,6.639684379734228,6.64,817.42,6,0.494,81.54,0.0,0.0,89.8,77.9,0.0,10,6,4,40.0,40.0
2026-05-08T18:32:24.993,M2,320,2,M2 <- CPU 100% > 80.0%,1,0.0,0.0,100.0,78.0,0.0,7.136877371095288,7.14,45.69,6,0.5122,84.12,0.0,0.0,100.0,78.0,0.0,13,7,6,46.15,46.15
2026-05-08T18:32:25.060,M2,320,2,M2 <- CPU 100% > 80.0%,1,0.0,0.0,100.0,78.0,0.0,7.587218209390295,7.59,56.95,8,0.4755,81.43,0.0,0.0,100.0,78.0,0.0,16,8,8,50.0,50.0
2026-05-08T18:32:25.113,M2,320,2,M2 <- CPU 100% > 80.0%,1,0.0,0.0,100.0,78.0,0.0,8.137538699865264,8.14,42.67,9,0.4468,84.19,0.0,0.0,100.0,78.0,0.0,19,9,10,52.63,52.63
2026-05-08T18:32:25.164,M2,320,2,M2 <- CPU 100% > 80.0%,1,0.0,0.0,100.0,78.0,0.0,8.730700823661987,8.73,39.4,7,0.4977,82.8,0.0,0.0,100.0,78.0,0.0,22,10,12,54.55,54.55
2026-05-08T18:32:25.219,M2,320,2,M2 <- CPU 100% > 80.0%,1,0.0,0.0,100.0,78.0,0.0,9.30366633706466,9.3,44.0,6,0.5462,86.31,0.0,0.0,100.0,78.0,0.0,25,11,14,56.0,56.0
2026-05-08T18:32:25.325,M2,320,2,M2 <- CPU 100% > 80.0%,1,0.0,0.0,100.0,78.0,0.0,9.446505859512035,9.45,91.23,6,0.6441,87.3,0.0,0.0,100.0,78.0,0.0,28,12,16,57.14,57.14
2026-05-08T18:32:25.381,M2,320,2,M2 <- CPU 100% > 80.0%,1,0.0,0.0,100.0,78.0,0.0,10.023008559960203,10.02,44.97,7,0.5512,82.54,0.0,0.0,100.0,78.0,0.0,31,13,18,58.06,58.06
2026-05-08T18:32:25.431,M2,320,2,M2 <- CPU 100% > 80.0%,1,0.0,0.0,100.0,78.0,0.0,10.670796313392692,10.67,39.2,6,0.5587,74.77,0.0,0.0,100.0,78.0,0.0,34,14,20,58.82,58.82
2026-05-08T18:32:25.494,M2,320,2,M2 <- CPU 100% > 80.0%,1,0.0,0.0,100.0,78.0,0.0,11.154192756927063,11.15,53.1,6,0.5384,76.19,0.0,0.0,100.0,78.0,0.0,37,15,22,59.46,59.46
2026-05-08T18:32:25.554,M2,320,2,M2 <- CPU 90% > 80.0%,1,0.0,0.0,90.3,77.9,0.0,11.698439338147095,11.7,47.94,8,0.567,76.77,0.0,0.0,90.3,77.9,0.0,40,16,24,60.0,60.0
2026-05-08T18:32:25.606,M2,320,2,M2 <- CPU 90% > 80.0%,1,0.0,0.0,90.3,77.9,0.0,12.324974720555518,12.32,42.03,9,0.5441,79.96,0.0,0.0,90.3,77.9,0.0,43,17,26,60.47,60.47
2026-05-08T18:32:25.659,M2,320,2,M2 <- CPU 90% > 80.0%,1,0.0,0.0,90.3,77.9,0.0,12.937741673491326,12.94,42.71,8,0.5634,80.93,0.0,0.0,90.3,77.9,0.0,46,18,28,60.87,60.87
2026-05-08T18:32:25.713,M2,320,2,M2 <- CPU 90% > 80.0%,1,0.0,0.0,90.3,77.9,0.0,13.527081188366626,13.53,43.62,9,0.6154,80.9,0.0,0.0,90.3,77.9,0.0,49,19,30,61.22,61.22
2026-05-08T18:32:25.766,M2,320,2,M2 <- CPU 90% > 80.0%,1,0.0,0.0,90.3,77.9,0.0,14.117769275049564,14.12,43.0,9,0.5893,80.61,0.0,0.0,90.3,77.9,0.0,52,20,32,61.54,61.54
2026-05-08T18:32:25.817,M2,320,2,M2 <- CPU 90% > 80.0%,1,0.0,0.0,90.3,77.9,0.0,14.762823841475518,14.76,39.88,8,0.6391,80.21,0.0,0.0,90.3,77.9,0.0,55,21,34,61.82,61.82
2026-05-08T18:32:25.869,M2,320,2,M2 <- CPU 90% > 80.0%,1,0.0,0.0,90.3,77.9,0.0,15.365784897417708,15.37,41.16,7,0.6798,83.02,0.0,0.0,90.3,77.9,0.0,58,22,36,62.07,62.07
2026-05-08T18:32:25.920,M2,320,2,M2 <- CPU 90% > 80.0%,1,0.0,0.0,90.3,77.9,0.0,15.97587242522624,15.98,40.23,8,0.6412,84.02,0.0,0.0,90.3,77.9,0.0,61,23,38,62.3,62.3
2026-05-08T18:32:25.983,M2,320,2,M2 <- CPU 90% > 80.0%,1,0.0,0.0,90.3,77.9,0.0,16.231468108348576,16.23,52.74,9,0.5949,83.03,0.0,0.0,90.3,77.9,0.0,64,24,40,62.5,62.5
2026-05-08T18:32:26.031,M2,320,2,M2 <- CPU 88% > 80.0%,1,0.0,0.0,87.5,77.3,0.0,16.893995237909717,16.89,37.45,8,0.6256,83.91,0.0,0.0,87.5,77.3,0.0,67,25,42,62.69,62.69
2026-05-08T18:32:26.084,M2,320,2,M2 <- CPU 88% > 80.0%,1,0.0,0.0,87.5,77.3,0.0,17.393864572622974,17.39,42.18,10,0.5048,78.48,0.0,0.0,87.5,77.3,0.0,70,26,44,62.86,62.86
2026-05-08T18:32:26.135,M2,320,2,M2 <- CPU 88% > 80.0%,1,0.0,0.0,87.5,77.3,0.0,17.90949844381453,17.91,40.94,7,0.5805,82.27,0.0,0.0,87.5,77.3,0.0,73,27,46,63.01,63.01
2026-05-08T18:32:26.191,M2,320,2,M2 <- CPU 88% > 80.0%,1,0.0,0.0,87.5,77.3,0.0,18.290686486159856,18.29,44.2,9,0.5303,79.61,0.0,0.0,87.5,77.3,0.0,76,28,48,63.16,63.16
2026-05-08T18:32:26.260,M2,320,2,M2 <- CPU 88% > 80.0%,1,0.0,0.0,87.5,77.3,0.0,18.545082559109577,18.55,47.17,7,0.5049,83.63,0.0,0.0,87.5,77.3,0.0,79,29,50,63.29,63.29
2026-05-08T18:32:26.322,M2,320,2,M2 <- CPU 88% > 80.0%,1,0.0,0.0,87.5,77.3,0.0,18.656825994024405,18.66,50.69,5,0.5849,89.71,0.0,0.0,87.5,77.3,0.0,82,30,52,63.41,63.41
2026-05-08T18:32:26.381,M2,320,2,M2 <- CPU 88% > 80.0%,1,0.0,0.0,87.5,77.3,0.0,18.858012802091967,18.86,47.88,9,0.5193,86.44,0.0,0.0,87.5,77.3,0.0,85,31,54,63.53,63.53
2026-05-08T18:32:26.445,M2,320,2,M2 <- CPU 88% > 80.0%,1,0.0,0.0,87.5,77.3,0.0,18.812806197658766,18.81,54.3,8,0.5028,88.07,0.0,0.0,87.5,77.3,0.0,88,32,56,63.64,63.64
2026-05-08T18:32:26.513,M2,320,2,M2 <- CPU 88% > 80.0%,1,0.0,0.0,87.5,77.3,0.0,18.675415209239407,18.68,57.07,8,0.5213,82.64,0.0,0.0,87.5,77.3,0.0,91,33,58,63.74,63.74
2026-05-08T18:32:26.573,M2,320,2,M2 <- CPU 93% > 80.0%,1,0.0,0.0,93.3,77.3,0.0,18.766976037339592,18.77,50.93,7,0.4893,75.96,0.0,0.0,93.3,77.3,0.0,94,34,60,63.83,63.83
2026-05-08T18:32:26.642,M2,320,2,M2 <- CPU 93% > 80.0%,1,0.0,0.0,93.3,77.3,0.0,18.619331628532123,18.62,57.51,7,0.4928,73.81,0.0,0.0,93.3,77.3,0.0,97,35,62,63.92,63.92
2026-05-08T18:32:26.694,M2,320,2,M2 <- CPU 93% > 80.0%,1,0.0,0.0,93.3,77.3,0.0,19.058800722466817,19.06,41.32,7,0.4668,78.07,0.0,0.0,93.3,77.3,0.0,100,36,64,64.0,64.0
2026-05-08T18:32:26.744,M2,320,2,M2 <- CPU 93% > 80.0%,1,0.0,0.0,93.3,77.3,0.0,19.4998754876544,19.5,40.6,8,0.4959,69.9,0.0,0.0,93.3,77.3,0.0,103,37,66,64.08,64.08
2026-05-08T18:32:26.797,M2,320,2,M2 <- CPU 93% > 80.0%,1,0.0,0.0,93.3,77.3,0.0,19.855530816670296,19.86,42.1,10,0.4473,66.53,0.0,0.0,93.3,77.3,0.0,106,38,68,64.15,64.15
2026-05-08T18:32:26.847,M2,320,2,M2 <- CPU 93% > 80.0%,1,0.0,0.0,93.3,77.3,0.0,20.29254513263399,20.29,39.52,9,0.4424,65.31,0.0,0.0,93.3,77.3,0.0,109,39,70,64.22,64.22
2026-05-08T18:32:26.903,M2,320,2,M2 <- CPU 93% > 80.0%,1,0.0,0.0,93.3,77.3,0.0,20.405426148934595,20.41,46.55,9,0.4559,67.12,0.0,0.0,93.3,77.3,0.0,112,40,72,64.29,64.29
2026-05-08T18:32:26.958,M2,320,2,M2 <- CPU 93% > 80.0%,1,0.0,0.0,93.3,77.3,0.0,20.57458841001297,20.57,44.98,7,0.4337,73.54,0.0,0.0,93.3,77.3,0.0,115,41,74,64.35,64.35
2026-05-08T18:32:27.025,M2,320,2,M2 <- CPU 93% > 80.0%,1,0.0,0.0,93.3,77.3,0.0,20.267440680509708,20.27,55.97,10,0.4582,79.33,0.0,0.0,93.3,77.3,0.0,118,42,76,64.41,64.41
2026-05-08T18:32:27.079,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.6,77.2,0.0,20.542254382448096,20.54,42.74,7,0.5847,81.11,0.0,0.0,88.6,77.2,0.0,121,43,78,64.46,64.46
2026-05-08T18:32:27.127,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.6,77.2,0.0,21.03619946223593,21.04,37.25,11,0.4745,83.67,0.0,0.0,88.6,77.2,0.0,124,44,80,64.52,64.52
2026-05-08T18:32:27.177,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.6,77.2,0.0,21.345239522110806,21.35,40.65,8,0.5417,82.97,0.0,0.0,88.6,77.2,0.0,127,45,82,64.57,64.57
2026-05-08T18:32:27.230,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.6,77.2,0.0,21.52567149755059,21.53,42.92,13,0.4801,78.72,0.0,0.0,88.6,77.2,0.0,130,46,84,64.62,64.62
2026-05-08T18:32:27.281,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.6,77.2,0.0,21.81467448099347,21.81,40.3,9,0.5315,82.87,0.0,0.0,88.6,77.2,0.0,133,47,86,64.66,64.66
2026-05-08T18:32:27.332,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.6,77.2,0.0,22.08217601814735,22.08,40.29,10,0.4956,83.02,0.0,0.0,88.6,77.2,0.0,136,48,88,64.71,64.71
2026-05-08T18:32:27.383,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.6,77.2,0.0,22.33717283145764,22.34,40.12,10,0.4865,83.07,0.0,0.0,88.6,77.2,0.0,139,49,90,64.75,64.75
2026-05-08T18:32:27.444,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.6,77.2,0.0,22.073568695738956,22.07,50.11,5,0.5844,79.03,0.0,0.0,88.6,77.2,0.0,142,50,92,64.79,64.79
2026-05-08T18:32:27.507,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.6,77.2,0.0,21.757593380492708,21.76,51.88,8,0.5244,85.81,0.0,0.0,88.6,77.2,0.0,145,51,94,64.83,64.83
2026-05-08T18:32:27.572,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.8,77.2,0.0,21.609828962664277,21.61,49.1,6,0.6399,83.03,0.0,0.0,88.8,77.2,0.0,148,52,96,64.86,64.86
2026-05-08T18:32:27.626,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.8,77.2,0.0,21.735272376157326,21.74,43.6,6,0.5536,70.96,0.0,0.0,88.8,77.2,0.0,151,53,98,64.9,64.9
2026-05-08T18:32:27.673,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.8,77.2,0.0,22.169931439217606,22.17,36.99,4,0.4062,52.47,0.0,0.0,88.8,77.2,0.0,154,54,100,64.94,64.94
2026-05-08T18:32:27.723,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.8,77.2,0.0,22.42879907384581,22.43,39.9,8,0.4702,71.68,0.0,0.0,88.8,77.2,0.0,157,55,102,64.97,64.97
2026-05-08T18:32:27.774,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.8,77.2,0.0,22.630675104973687,22.63,40.61,8,0.4209,63.14,0.0,0.0,88.8,77.2,0.0,160,56,104,65.0,65.0
2026-05-08T18:32:27.830,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.8,77.2,0.0,22.544772725816422,22.54,45.87,7,0.4524,62.09,0.0,0.0,88.8,77.2,0.0,163,57,106,65.03,65.03
2026-05-08T18:32:27.881,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.8,77.2,0.0,22.676877428873297,22.68,41.77,6,0.5487,66.87,0.0,0.0,88.8,77.2,0.0,166,58,108,65.06,65.06
2026-05-08T18:32:27.939,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.8,77.2,0.0,22.53831258846896,22.54,46.81,7,0.5529,75.37,0.0,0.0,88.8,77.2,0.0,169,59,110,65.09,65.09
2026-05-08T18:32:27.993,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.8,77.2,0.0,22.627268166280473,22.63,42.62,7,0.5035,82.16,0.0,0.0,88.8,77.2,0.0,172,60,112,65.12,65.12
2026-05-08T18:32:28.051,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.8,77.2,0.0,22.459444838931486,22.46,47.5,9,0.4704,75.89,0.0,0.0,88.8,77.2,0.0,175,61,114,65.14,65.14
2026-05-08T18:32:28.113,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.7,77.2,0.0,22.339720089756405,22.34,46.91,6,0.4357,81.78,0.0,0.0,88.7,77.2,0.0,178,62,116,65.17,65.17
2026-05-08T18:32:28.167,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.7,77.2,0.0,22.40509940262764,22.41,43.46,5,0.503,71.42,0.0,0.0,88.7,77.2,0.0,181,63,118,65.19,65.19
2026-05-08T18:32:28.222,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.7,77.2,0.0,22.424407266617663,22.42,44.25,7,0.496,82.74,0.0,0.0,88.7,77.2,0.0,184,64,120,65.22,65.22
2026-05-08T18:32:28.274,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.7,77.2,0.0,22.56539672759498,22.57,41.81,6,0.5192,73.83,0.0,0.0,88.7,77.2,0.0,187,65,122,65.24,65.24
2026-05-08T18:32:28.326,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.7,77.2,0.0,22.739828167202926,22.74,40.92,6,0.4205,59.35,0.0,0.0,88.7,77.2,0.0,190,66,124,65.26,65.26
2026-05-08T18:32:28.382,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.7,77.2,0.0,22.67366214975057,22.67,45.26,7,0.4657,69.82,0.0,0.0,88.7,77.2,0.0,193,67,126,65.28,65.28
2026-05-08T18:32:28.439,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.7,77.2,0.0,22.651461410833367,22.65,44.54,8,0.5139,70.54,0.0,0.0,88.7,77.2,0.0,196,68,128,65.31,65.31
2026-05-08T18:32:28.499,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.7,77.2,0.0,22.39567636671444,22.4,49.19,8,0.5499,77.0,0.0,0.0,88.7,77.2,0.0,199,69,130,65.33,65.33
2026-05-08T18:32:28.549,M2,320,2,M2 <- CPU 89% > 80.0%,1,0.0,0.0,88.7,77.2,0.0,22.716153083792907,22.72,38.35,8,0.4868,70.5,0.0,0.0,88.7,77.2,0.0,202,70,132,65.35,65.35
2026-05-08T18:32:28.604,M2,320,2,M2 <- CPU 87% > 80.0%,1,0.0,0.0,87.2,77.2,0.0,22.80416716217122,22.8,42.32,6,0.4895,74.27,0.0,0.0,87.2,77.2,0.0,205,71,134,65.37,65.37
2026-05-08T18:32:28.656,M2,320,2,M2 <- CPU 87% > 80.0%,1,0.0,0.0,87.2,77.2,0.0,22.927439217281574,22.93,41.49,5,0.5446,77.19,0.0,0.0,87.2,77.2,0.0,208,72,136,65.38,65.38
