timestamp,mode,mode_imgsz,mode_skip,fps,latency_ms,ram_usage_percent,cpu_usage_percent,gpu_usage_percent,temperature,num_detections,confidence_score_avg,accuracy,source_frames_seen,processed_frames,intentional_skips_total,intentional_drop_rate_percent,frame_drop_rate_percent
2026-04-19T15:32:33.355,M0,640,0,11.44,87.39,83.2,0.0,0.0,0.0,9,0.5472,86.17,1,1,0,0.0,0.0
2026-04-19T15:32:33.755,M0,640,0,12.01,46.47,83.2,0.0,0.0,0.0,8,0.5276,89.69,2,2,0,0.0,0.0
2026-04-19T15:32:33.848,M0,640,0,12.64,41.49,84.1,0.0,0.0,0.0,10,0.5189,86.82,3,3,0,0.0,0.0
2026-04-19T15:32:33.907,M0,640,0,13.38,35.09,84.1,0.0,0.0,0.0,10,0.4998,85.54,4,4,0,0.0,0.0
2026-04-19T15:32:33.960,M0,640,0,14.13,35.1,84.1,0.0,0.0,0.0,8,0.5675,81.85,5,5,0,0.0,0.0
2026-04-19T15:32:34.018,M0,640,0,14.74,41.51,84.1,0.0,0.0,0.0,9,0.5197,81.42,6,6,0,0.0,0.0
2026-04-19T15:32:34.067,M0,640,0,15.56,32.36,84.1,0.0,0.0,0.0,9,0.5491,84.33,7,7,0,0.0,0.0
2026-04-19T15:32:34.135,M0,640,0,16.49,27.75,84.1,0.0,0.0,0.0,9,0.506,85.39,8,8,0,0.0,0.0
2026-04-19T15:32:34.180,M0,640,0,17.41,28.72,84.1,0.0,0.0,0.0,7,0.5467,83.36,9,9,0,0.0,0.0
2026-04-19T15:32:34.235,M0,640,0,18.12,34.88,84.1,0.0,0.0,0.0,10,0.4941,87.11,10,10,0,0.0,0.0
2026-04-19T15:32:34.280,M0,640,0,19.0,29.6,84.1,0.0,0.0,0.0,9,0.4848,86.81,11,11,0,0.0,0.0
2026-04-19T15:32:34.340,M0,640,0,19.4,41.98,83.9,49.5,0.0,0.0,7,0.5921,86.43,12,12,0,0.0,0.0
2026-04-19T15:32:34.384,M0,640,0,20.38,26.66,83.9,49.5,0.0,0.0,9,0.5332,86.63,13,13,0,0.0,0.0
2026-04-19T15:32:34.429,M0,640,0,21.22,29.65,83.9,49.5,0.0,0.0,9,0.5112,87.19,14,14,0,0.0,0.0
2026-04-19T15:32:34.478,M0,640,0,21.86,33.25,83.9,49.5,0.0,0.0,11,0.4947,88.43,15,15,0,0.0,0.0
2026-04-19T15:32:34.521,M0,640,0,22.84,26.2,83.9,49.5,0.0,0.0,11,0.4951,89.83,16,16,0,0.0,0.0
2026-04-19T15:32:34.562,M0,640,0,23.84,25.38,83.9,49.5,0.0,0.0,9,0.54,90.49,17,17,0,0.0,0.0
2026-04-19T15:32:34.606,M0,640,0,24.68,27.62,83.9,49.5,0.0,0.0,10,0.5493,90.06,18,18,0,0.0,0.0
2026-04-19T15:32:34.647,M0,640,0,25.65,25.25,83.9,49.5,0.0,0.0,12,0.5098,89.99,19,19,0,0.0,0.0
2026-04-19T15:32:34.687,M0,640,0,26.61,24.86,83.9,49.5,0.0,0.0,11,0.5122,89.93,20,20,0,0.0,0.0
2026-04-19T15:32:34.729,M0,640,0,27.51,25.4,83.9,49.5,0.0,0.0,8,0.6113,89.14,21,21,0,0.0,0.0
2026-04-19T15:32:34.769,M0,640,0,28.4,24.89,83.9,49.5,0.0,0.0,8,0.578,91.2,22,22,0,0.0,0.0
2026-04-19T15:32:34.810,M0,640,0,29.25,24.98,83.9,49.5,0.0,0.0,9,0.5707,90.95,23,23,0,0.0,0.0
2026-04-19T15:32:34.866,M0,640,0,29.57,30.46,83.7,37.1,0.0,0.0,11,0.5443,91.99,24,24,0,0.0,0.0
2026-04-19T15:32:34.906,M0,640,0,30.47,23.81,83.7,37.1,0.0,0.0,11,0.5282,90.02,25,25,0,0.0,0.0
2026-04-19T15:32:34.946,M0,640,0,31.36,23.59,83.7,37.1,0.0,0.0,10,0.5412,90.5,26,26,0,0.0,0.0
2026-04-19T15:32:34.986,M0,640,0,32.07,24.83,83.7,37.1,0.0,0.0,10,0.56,90.51,27,27,0,0.0,0.0
2026-04-19T15:32:35.026,M0,640,0,32.78,24.41,83.7,37.1,0.0,0.0,12,0.5704,88.71,28,28,0,0.0,0.0
2026-04-19T15:32:35.066,M0,640,0,33.5,23.98,83.7,37.1,0.0,0.0,12,0.6173,88.97,29,29,0,0.0,0.0
2026-04-19T15:32:35.108,M0,640,0,33.96,25.8,83.7,37.1,0.0,0.0,10,0.6345,86.8,30,30,0,0.0,0.0
2026-04-19T15:32:35.148,M0,640,0,34.53,24.56,83.7,37.1,0.0,0.0,11,0.5952,86.88,31,31,0,0.0,0.0
2026-04-19T15:32:35.189,M0,640,0,35.03,24.81,83.7,37.1,0.0,0.0,10,0.5823,86.84,32,32,0,0.0,0.0
2026-04-19T15:32:35.232,M0,640,0,35.27,26.63,83.7,37.1,0.0,0.0,9,0.6152,85.34,33,33,0,0.0,0.0
2026-04-19T15:32:35.274,M0,640,0,35.63,25.49,83.7,37.1,0.0,0.0,11,0.5948,87.42,34,34,0,0.0,0.0
2026-04-19T15:32:35.314,M0,640,0,36.01,25.07,83.7,37.1,0.0,0.0,8,0.6067,81.05,35,35,0,0.0,0.0
2026-04-19T15:32:35.366,M0,640,0,34.94,36.29,83.3,34.2,0.0,0.0,8,0.5609,82.13,36,36,0,0.0,0.0
2026-04-19T15:32:35.407,M0,640,0,35.48,24.24,83.3,34.2,0.0,0.0,10,0.545,85.99,37,37,0,0.0,0.0
2026-04-19T15:32:35.448,M0,640,0,35.99,24.23,83.3,34.2,0.0,0.0,8,0.6003,87.64,38,38,0,0.0,0.0
2026-04-19T15:32:35.487,M0,640,0,36.44,24.32,83.3,34.2,0.0,0.0,9,0.6021,85.2,39,39,0,0.0,0.0
2026-04-19T15:32:35.527,M0,640,0,36.84,24.49,83.3,34.2,0.0,0.0,9,0.6016,84.2,40,40,0,0.0,0.0
2026-04-19T15:32:35.567,M0,640,0,37.15,24.85,83.3,34.2,0.0,0.0,9,0.5918,86.33,41,41,0,0.0,0.0
2026-04-19T15:32:35.610,M0,640,0,37.09,27.37,83.3,34.2,0.0,0.0,10,0.5708,89.29,42,42,0,0.0,0.0
2026-04-19T15:32:35.651,M0,640,0,37.34,25.16,83.3,34.2,0.0,0.0,8,0.6148,90.85,43,43,0,0.0,0.0
2026-04-19T15:32:35.693,M0,640,0,37.4,26.37,83.3,34.2,0.0,0.0,9,0.591,90.51,44,44,0,0.0,0.0
2026-04-19T15:32:35.735,M0,640,0,37.54,25.75,83.3,34.2,0.0,0.0,8,0.6531,88.48,45,45,0,0.0,0.0
2026-04-19T15:32:35.775,M0,640,0,37.78,24.93,83.3,34.2,0.0,0.0,8,0.6506,91.13,46,46,0,0.0,0.0
2026-04-19T15:32:35.815,M0,640,0,38.06,24.49,83.3,34.2,0.0,0.0,8,0.6583,91.5,47,47,0,0.0,0.0
2026-04-19T15:32:35.856,M0,640,0,38.12,25.85,83.3,34.2,0.0,0.0,9,0.6672,91.74,48,48,0,0.0,0.0
2026-04-19T15:32:35.909,M0,640,0,38.01,27.02,83.3,34.1,0.0,0.0,9,0.6492,91.37,49,49,0,0.0,0.0
2026-04-19T15:32:35.950,M0,640,0,38.27,24.55,83.3,34.1,0.0,0.0,10,0.6213,88.44,50,50,0,0.0,0.0
2026-04-19T15:32:35.991,M0,640,0,38.32,25.75,83.3,34.1,0.0,0.0,9,0.6251,87.74,51,51,0,0.0,0.0
2026-04-19T15:32:36.033,M0,640,0,38.4,25.57,83.3,34.1,0.0,0.0,8,0.6705,88.17,52,52,0,0.0,0.0
2026-04-19T15:32:36.075,M0,640,0,38.45,25.68,83.3,34.1,0.0,0.0,9,0.6517,88.95,53,53,0,0.0,0.0
2026-04-19T15:32:36.115,M0,640,0,38.52,25.56,83.3,34.1,0.0,0.0,11,0.6167,87.32,54,54,0,0.0,0.0
2026-04-19T15:32:36.155,M0,640,0,38.69,24.8,83.3,34.1,0.0,0.0,11,0.6129,89.66,55,55,0,0.0,0.0
2026-04-19T15:32:36.196,M0,640,0,38.86,24.7,83.3,34.1,0.0,0.0,10,0.6245,90.88,56,56,0,0.0,0.0
2026-04-19T15:32:36.242,M0,640,0,38.22,30.09,83.3,34.1,0.0,0.0,9,0.6937,92.27,57,57,0,0.0,0.0
2026-04-19T15:32:36.284,M0,640,0,38.11,26.93,83.3,34.1,0.0,0.0,9,0.7086,89.75,58,58,0,0.0,0.0
2026-04-19T15:32:36.327,M0,640,0,37.97,27.2,83.3,34.1,0.0,0.0,9,0.6952,89.78,59,59,0,0.0,0.0
2026-04-19T15:32:36.371,M0,640,0,37.71,28.13,83.3,34.1,0.0,0.0,10,0.6441,90.3,60,60,0,0.0,0.0
2026-04-19T15:32:36.415,M0,640,0,37.55,27.67,83.3,33.6,0.0,0.0,10,0.6707,91.03,61,61,0,0.0,0.0
2026-04-19T15:32:36.457,M0,640,0,37.73,25.32,83.3,33.6,0.0,0.0,9,0.7169,91.88,62,62,0,0.0,0.0
2026-04-19T15:32:36.500,M0,640,0,37.56,27.69,83.3,33.6,0.0,0.0,9,0.6824,93.34,63,63,0,0.0,0.0
2026-04-19T15:32:36.541,M0,640,0,37.77,25.14,83.3,33.6,0.0,0.0,8,0.7006,90.14,64,64,0,0.0,0.0
2026-04-19T15:32:36.584,M0,640,0,37.66,27.28,83.3,33.6,0.0,0.0,11,0.6248,90.2,65,65,0,0.0,0.0
2026-04-19T15:32:36.626,M0,640,0,37.82,25.41,83.3,33.6,0.0,0.0,9,0.6465,89.55,66,66,0,0.0,0.0
2026-04-19T15:32:36.666,M0,640,0,38.12,24.35,83.3,33.6,0.0,0.0,12,0.5494,89.8,67,67,0,0.0,0.0
2026-04-19T15:32:36.709,M0,640,0,38.1,26.43,83.3,33.6,0.0,0.0,13,0.5811,85.44,68,68,0,0.0,0.0
2026-04-19T15:32:36.749,M0,640,0,38.33,24.64,83.3,33.6,0.0,0.0,14,0.5478,84.73,69,69,0,0.0,0.0
2026-04-19T15:32:36.791,M0,640,0,38.45,25.3,83.3,33.6,0.0,0.0,14,0.5636,86.38,70,70,0,0.0,0.0
2026-04-19T15:32:36.832,M0,640,0,38.55,25.29,83.3,33.6,0.0,0.0,11,0.5913,82.7,71,71,0,0.0,0.0
2026-04-19T15:32:36.873,M0,640,0,38.7,24.96,83.3,33.6,0.0,0.0,10,0.5208,82.27,72,72,0,0.0,0.0
2026-04-19T15:32:36.927,M0,640,0,37.9,31.26,83.2,32.4,0.0,0.0,9,0.5615,83.91,73,73,0,0.0,0.0
2026-04-19T15:32:36.967,M0,640,0,38.22,24.19,83.2,32.4,0.0,0.0,9,0.582,85.57,74,74,0,0.0,0.0
2026-04-19T15:32:37.008,M0,640,0,38.52,24.13,83.2,32.4,0.0,0.0,12,0.5079,83.51,75,75,0,0.0,0.0
2026-04-19T15:32:37.051,M0,640,0,38.38,26.91,83.2,32.4,0.0,0.0,11,0.545,84.14,76,76,0,0.0,0.0
2026-04-19T15:32:37.097,M0,640,0,37.78,30.17,83.2,32.4,0.0,0.0,11,0.5422,82.89,77,77,0,0.0,0.0
2026-04-19T15:32:37.137,M0,640,0,38.07,24.45,83.2,32.4,0.0,0.0,11,0.5741,85.19,78,78,0,0.0,0.0
2026-04-19T15:32:37.176,M0,640,0,38.39,24.08,83.2,32.4,0.0,0.0,13,0.5605,83.32,79,79,0,0.0,0.0
2026-04-19T15:32:37.216,M0,640,0,38.55,24.97,83.2,32.4,0.0,0.0,8,0.5821,83.34,80,80,0,0.0,0.0
2026-04-19T15:32:37.258,M0,640,0,38.67,25.16,83.2,32.4,0.0,0.0,12,0.4892,83.8,81,81,0,0.0,0.0
2026-04-19T15:32:37.299,M0,640,0,38.69,25.69,83.2,32.4,0.0,0.0,14,0.4609,86.24,82,82,0,0.0,0.0
2026-04-19T15:32:37.341,M0,640,0,38.69,25.84,83.2,32.4,0.0,0.0,12,0.5553,85.63,83,83,0,0.0,0.0
2026-04-19T15:32:37.382,M0,640,0,38.85,24.8,83.2,32.4,0.0,0.0,12,0.5345,85.74,84,84,0,0.0,0.0
2026-04-19T15:32:37.438,M0,640,0,36.74,40.53,83.2,32.8,0.0,0.0,17,0.48,87.27,85,85,0,0.0,0.0
2026-04-19T15:32:37.481,M0,640,0,37.0,25.3,83.2,32.8,0.0,0.0,15,0.509,85.09,86,86,0,0.0,0.0
2026-04-19T15:32:37.521,M0,640,0,37.41,24.06,83.2,32.8,0.0,0.0,15,0.5364,86.72,87,87,0,0.0,0.0
2026-04-19T15:32:37.561,M0,640,0,37.7,24.7,83.2,32.8,0.0,0.0,11,0.4925,87.95,88,88,0,0.0,0.0
